latitude,longitude,listing_url
40.82553,-73.94511,https://www.airbnb.com/rooms/201514
40.67466,-73.97853,https://www.airbnb.com/rooms/201992
40.68702,-73.94917,https://www.airbnb.com/rooms/202273
40.76922,-73.95648,https://www.airbnb.com/rooms/203901
40.687,-73.96149,https://www.airbnb.com/rooms/204065
40.68339,-73.94034,https://www.airbnb.com/rooms/205485
40.6878,-73.97253,https://www.airbnb.com/rooms/206316
40.5847,-73.94088,https://www.airbnb.com/rooms/206957
40.71955,-73.95471,https://www.airbnb.com/rooms/208148
40.77507,-73.93367,https://www.airbnb.com/rooms/74680
40.72364,-73.95013,https://www.airbnb.com/rooms/74860
40.71624,-73.994,https://www.airbnb.com/rooms/75635
40.695588790857855,-73.95461923691613,https://www.airbnb.com/rooms/75658
40.81146,-73.94469,https://www.airbnb.com/rooms/250536
40.81128,-73.9433,https://www.airbnb.com/rooms/250537
40.76321,-73.93969,https://www.airbnb.com/rooms/250550
40.78615,-73.97394,https://www.airbnb.com/rooms/251277
40.67882,-73.97224,https://www.airbnb.com/rooms/252865
40.66161712766098,-73.99192061645073,https://www.airbnb.com/rooms/253332
40.73756,-73.9535,https://www.airbnb.com/rooms/253466
40.73756,-73.9535,https://www.airbnb.com/rooms/253471
40.73756,-73.9535,https://www.airbnb.com/rooms/253475
40.73756,-73.9535,https://www.airbnb.com/rooms/253800
40.73777,-73.95366,https://www.airbnb.com/rooms/77765
40.68337,-73.96253,https://www.airbnb.com/rooms/79067
40.7226132,-73.9854593,https://www.airbnb.com/rooms/80493
40.69049,-73.93212,https://www.airbnb.com/rooms/208889
40.73933410644531,-73.9248046875,https://www.airbnb.com/rooms/209310
40.77549,-73.95128,https://www.airbnb.com/rooms/274743
40.68413,-73.93538,https://www.airbnb.com/rooms/275976
40.70937,-73.9657,https://www.airbnb.com/rooms/276021
40.67782,-73.97205,https://www.airbnb.com/rooms/276317
40.6556,-73.95389,https://www.airbnb.com/rooms/277883
40.66883,-73.95296,https://www.airbnb.com/rooms/278876
40.68607,-73.95536,https://www.airbnb.com/rooms/279857
40.73756,-73.9535,https://www.airbnb.com/rooms/80684
40.73777,-73.95366,https://www.airbnb.com/rooms/80700
40.73756,-73.9535,https://www.airbnb.com/rooms/253803
40.73756,-73.9535,https://www.airbnb.com/rooms/253806
40.73756,-73.9535,https://www.airbnb.com/rooms/253811
40.73756,-73.9535,https://www.airbnb.com/rooms/253828
40.73756,-73.9535,https://www.airbnb.com/rooms/253839
40.73756,-73.9535,https://www.airbnb.com/rooms/253842
40.73756,-73.9535,https://www.airbnb.com/rooms/253846
40.73756,-73.9535,https://www.airbnb.com/rooms/254168
40.71134819720268,-73.95338679325236,https://www.airbnb.com/rooms/255476
40.69101,-73.95018,https://www.airbnb.com/rooms/255601
40.73777,-73.95366,https://www.airbnb.com/rooms/81739
40.72408,-73.98154,https://www.airbnb.com/rooms/82638
40.68433,-73.94469,https://www.airbnb.com/rooms/82928
40.68769,-73.91788,https://www.airbnb.com/rooms/83243
40.69132,-73.98573,https://www.airbnb.com/rooms/83474
40.73853,-74.00292,https://www.airbnb.com/rooms/281521
40.8078,-73.95232,https://www.airbnb.com/rooms/281851
40.75981,-73.99138,https://www.airbnb.com/rooms/283550
40.67223,-73.95556,https://www.airbnb.com/rooms/286662
40.80748,-73.95589,https://www.airbnb.com/rooms/286838
40.76198,-73.99361,https://www.airbnb.com/rooms/287408
40.67933,-73.995,https://www.airbnb.com/rooms/287845
40.719,-73.99764,https://www.airbnb.com/rooms/288726
40.72976,-73.98684,https://www.airbnb.com/rooms/289020
40.73777,-73.95366,https://www.airbnb.com/rooms/84010
